"Id","cor_steps_sleep"
1503960366,-0.324797634899281
1624580081,NA
1644430081,-0.401048561487993
1844505072,0.8677994901995
1927972279,-0.622334943561044
2022484408,NA
2026352035,0.183976856036595
2320127002,NA
2347167796,-0.205351415300665
2873212765,NA
3372868164,NA
3977333714,-0.261446496727195
4020332650,0.0865790424018444
4057192912,NA
4319703577,0.154802609442356
4388161847,-0.017492764267303
4445114986,0.0596733995555059
4558609924,0.0501991107300575
4702921684,0.365744864779636
5553957443,-0.587074164197928
5577150313,0.110900708768462
6117666160,-0.102017237930701
6290855005,NA
6775888955,-0.0826013691149689
6962181067,-0.121589505706763
7007744171,-1
7086361926,-0.348256579645619
8053475328,-0.518464111895947
8253242879,NA
8378563200,-0.0600256798147724
8583815059,NA
8792009665,-0.600867493923348
8877689391,NA
