"Id","avg_steps","avg_sleep","avg_sedentary","cluster"
1503960366,11745.09375,359,0.747274670604924,2
1644430081,7282.96666666667,294,0.847342997909609,3
1844505072,2499.4375,652,0.903060148088895,1
1927972279,888.25,472.5,0.969264219159699,1
2026352035,5424.75,506.068965517241,0.723470796666262,2
2320127002,4635.03125,61,0.859213977511045,3
2347167796,9018.63157894737,446.8,0.700176024547891,2
3977333714,10654.7096774194,292.965517241379,0.732273233734518,2
4020332650,2196.625,366.222222222222,0.924749613904832,1
4319703577,7268.83870967742,476.653846153846,0.714081183780617,2
4388161847,10813.935483871,400.173913043478,0.744558175825675,2
4445114986,4655.34375,386.689655172414,0.793259381541651,2
4558609924,7484.34375,127.6,0.782160923915226,3
4702921684,8304.1875,417.75,0.739719310190996,2
5553957443,8450.8125,462.78125,0.728224697590882,2
5577150313,8304.43333333333,432,0.723465045999692,2
6117666160,7046.71428571429,478.777777777778,0.693784432610361,2
6775888955,2519.69230769231,349.666666666667,0.949155176183902,1
6962181067,9672.875,445.4375,0.691280694432735,2
7007744171,11178.5925925926,68.5,0.772596564871413,3
7086361926,9092.34375,455.56,0.792293142638093,2
8053475328,14311,297,0.82739832473141,3
8378563200,8546.71875,441.78125,0.760016262176945,2
8792009665,1792.6,437.0625,0.907910808929021,1
